msms_score	matched_peaks	feature_id	short_inchikey	smiles	molecular_formula	exact_mass
0.21666195843694294	10	70	AJGRBKZAZQRHGQ	COC1C=CC(=CC#N)C(O)C1O	C9H11NO3	181.073893212
0.9472391120727197	17	84	APSZCQZJXWEGJS	O=C1C(O)=C(c2ccccc2)C2CCCN12	C13H13NO2	215.094628656
0.7008110609637854	7	118	AMMDXMZWSLPIRX	CC1(C)OC1C(O)c1cccc2cc[nH]c12	C13H15NO2	217.11027872
0.8106624843169897	9	152	AIXJLWHFXRWKJG	COc1cc2c3c(c1O)C1(C=CC(=O)CC1)CC3NCC2	C17H19NO3	285.13649346799997
0.43219966198343623	16	157	AMMJBNICHKNQTL	COc1ccc2c(c1)C(=O)N(C)C(Cc1ccccc1)C(O)=N2	C18H18N2O3	310.13174243599997
0.6613180637400808	7	161	ABVPTCRXZROELO	Cc1ccc2c(c1)C(=O)CC1C(C)(C(=O)O)CCCC21C	C18H22O3	286.156894564
0.2433842152398793	7	229	AIWVETHMKZUFIZ	CC(C)CC(O)=NCCc1ccc2c(c1)C=CC(C)(C)O2	C18H25NO2	287.18852904
0.21668117848739646	8	284	AOOCSKCGZYCEJX	O=c1cccc2n1CC1CC2CN2CCC(O)CC12	C15H20N2O2	260.15247788
0.42934425395705733	19	302	ANLAGVXTPHOKLD	CC(C)CC1N=C(O)C(CO)N=C1O	C9H16N2O3	200.116092372
0.29343639842833175	10	330	ACMBIXGUHFKCEJ	Cc1c2c(c(O)c3c1C1(C)Oc4c5c(c(C)c6c(C)coc46)C(C)CC(O)C5C1O3)CCCC2C	C30H34O5	474.240624188
0.3439114036206711	9	330	ACPQNZRBESJWHB	C=CC(C)(C)c1cc(-c2coc3c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c3c2=O)ccc1O	C30H34O5	474.240624188
0.2534631034302351	11	330	AJYSQFRTOQQIHC	CC(C)=CCc1cc2c(cc1O)OCC1c3c4c(c(O)c(CC=C(C)C)c3OC21)OC(C)(C)C=C4	C30H34O5	474.240624188
0.2688146272697782	8	330	AKYXRSVOSLDLQF	COC1OC2(C)c3c(cc(C4=CC(=O)C5=CC(C)(C)CC5C4(C)O)cc31)C(=O)C1=CC(C)(C)CC12	C30H34O5	474.240624188
0.7860846148772768	23	341	AEVLWICMAHGAMS	CC(C)C1CC=C(C=O)CC1	C10H16O	152.120115132
0.7565745611872716	23	341	ANWGQUDDFBXFAP	CC1CCC(C=O)=CC1(C)C	C10H16O	152.120115132
0.7855390445340713	23	341	AOVAKEPXEOVCEW	C=C(C)C1CCC(C=O)CC1	C10H16O	152.120115132
0.48013316277771395	10	350	ADSALMJPJUKESW	O=C(O)CC1CCCN1	C6H11NO2	129.078978592
0.25808936504354846	7	402	AFTDVOKQJZAVLI	O=c1c(O)ccc2n1CC1CNC2C1	C10H12N2O2	192.08987762400002
